Date,Time,Open,High,Low,Close,Volume,OI
2024-01-15,09:15:00,21500.0,21515.5,21495.0,21510.0,1250,45000
2024-01-15,09:16:00,21510.0,21525.0,21505.0,21518.5,1420,45200
2024-01-15,09:17:00,21518.5,21530.0,21512.0,21528.0,1650,45500
2024-01-15,09:18:00,21528.0,21535.5,21520.0,21522.0,1100,45400
2024-01-15,09:19:00,21522.0,21528.0,21510.0,21515.0,980,45300
2024-01-15,09:20:00,21515.0,21520.0,21502.5,21505.0,1050,45100
2024-01-15,09:21:00,21505.0,21512.0,21498.0,21500.0,890,45000
2024-01-15,09:22:00,21500.0,21518.0,21495.0,21514.0,1300,45250
2024-01-15,09:23:00,21514.0,21525.0,21508.0,21522.0,1150,45400
2024-01-15,09:24:00,21522.0,21532.0,21518.0,21530.0,1400,45600
2024-01-15,09:25:00,21530.0,21545.0,21525.0,21540.0,1800,46000
2024-01-15,09:26:00,21540.0,21550.0,21535.0,21548.0,2100,46300
2024-01-15,09:27:00,21548.0,21555.0,21542.0,21545.0,1750,46200
2024-01-15,09:28:00,21545.0,21548.0,21530.0,21532.0,1200,46000
2024-01-15,09:29:00,21532.0,21538.0,21525.0,21535.0,950,45900
2024-01-15,09:30:00,21535.0,21542.0,21528.0,21539.0,1050,46050
